Date,Open,High,Low,Close,Adj Close,Volume
2018-09-17,49553.878906,49810.050781,49373.539063,49398.570313,49398.570313,75804000
2018-09-18,49412.000000,49843.589844,49395.511719,49661.828125,49661.828125,104226700
2018-09-19,49623.980469,49887.789063,49536.320313,49590.789063,49590.789063,129421200
2018-09-20,49590.980469,49812.140625,49315.390625,49510.781250,49510.781250,94879400
2018-09-21,49483.039063,49732.351563,49296.570313,49344.289063,49344.289063,543954900
2018-09-24,49304.878906,49486.718750,49032.769531,49417.218750,49417.218750,93047500
2018-09-25,49447.980469,49721.199219,49447.980469,49651.550781,49651.550781,88477300
2018-09-26,49675.710938,49944.289063,49555.128906,49606.070313,49606.070313,97265900
2018-09-27,49641.671875,49964.968750,49492.691406,49646.910156,49646.910156,105511000
2018-09-28,49542.511719,49644.238281,49347.519531,49504.160156,49504.160156,133890700
2018-10-01,49547.851563,50041.601563,49547.851563,49841.468750,49841.468750,92809700
2018-10-02,49821.570313,49924.621094,49290.421875,49376.500000,49376.500000,95809500
2018-10-03,49442.988281,49487.539063,48926.410156,49005.351563,49005.351563,172821200
2018-10-04,49001.398438,49001.398438,48461.218750,48683.261719,48683.261719,139178200
2018-10-05,48717.800781,48735.109375,48004.921875,48052.851563,48052.851563,128342300
2018-10-08,48018.351563,48183.281250,47869.238281,48093.101563,48093.101563,145536700
2018-10-09,48040.878906,48552.078125,47673.378906,48505.218750,48505.218750,115835800
2018-10-10,48506.960938,48525.109375,48025.269531,48136.179688,48136.179688,147682600
2018-10-11,48123.589844,48205.011719,47478.589844,47558.230469,47558.230469,183060400
2018-10-12,47656.859375,48078.441406,47071.238281,47444.050781,47444.050781,151846700
2018-10-15,47447.601563,47963.488281,47204.890625,47739.089844,47739.089844,107365800
2018-10-16,47830.808594,48299.230469,47794.308594,48191.570313,48191.570313,120949800
2018-10-17,48221.011719,48221.011719,47778.828125,47887.949219,47887.949219,130687000
2018-10-18,47823.339844,48026.191406,46929.421875,47024.460938,47024.460938,158751900
2018-10-19,47151.300781,47568.878906,47103.460938,47437.449219,47437.449219,174772800
2018-10-22,47485.738281,47672.921875,46657.820313,46962.738281,46962.738281,126751100
2018-10-23,46771.460938,46843.828125,46279.390625,46449.031250,46449.031250,159801500
